chemical_name,crop_name,problem_name,organic_alternative,quantity,application_time,safety_note,combined_features
Bavistin (Carbendazim - Tegulu mandu),Chilli (Mirapa / Mirchi),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Pseudomonas fluorescens,1 Unit/Acre,As needed Application,Safe for humans. Apply in evening for best result.,bavistin (carbendazim - tegulu mandu) chilli (mirapa / mirchi) leaf spot & blight (aaku macha tegulu / jhulsa rog)
M-45 / Dithane (Mancozeb),Chilli (Mirapa / Mirchi),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Sour Buttermilk Spray,1 Unit/Acre,As needed Application,Kitchen-safe remedy. Effective for fungal control.,m-45 / dithane (mancozeb) chilli (mirapa / mirchi) leaf spot & blight (aaku macha tegulu / jhulsa rog)
Tilt (Propiconazole),Chilli (Mirapa / Mirchi),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Trichoderma viride,1 Unit/Acre,As needed Application,Eco-friendly bio-fungicide. Store in cool place.,tilt (propiconazole) chilli (mirapa / mirchi) leaf spot & blight (aaku macha tegulu / jhulsa rog)
19 19 19 (NPK),Chilli (Mirapa / Mirchi),Phosphorus & Potassium deficiency (Poshakala lopam),Wood Ash,1 Unit/Acre,As needed Application,Natural potassium source. Avoid direct seed contact.,19 19 19 (npk) chilli (mirapa / mirchi) phosphorus & potassium deficiency (poshakala lopam)
20 20 20 (NPK),Chilli (Mirapa / Mirchi),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,20 20 20 (npk) chilli (mirapa / mirchi) phosphorus & potassium deficiency (poshakala lopam)
28 28 0 (Gromor),Chilli (Mirapa / Mirchi),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,28 28 0 (gromor) chilli (mirapa / mirchi) phosphorus & potassium deficiency (poshakala lopam)
DAP (Eruvu / Khad),Chilli (Mirapa / Mirchi),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,dap (eruvu / khad) chilli (mirapa / mirchi) phosphorus & potassium deficiency (poshakala lopam)
MOP (Eruvu / Khad),Chilli (Mirapa / Mirchi),Phosphorus & Potassium deficiency (Poshakala lopam),Phosphorus Solubilizing Bacteria (PSB) + FYM,1 Unit/Acre,As needed Application,Safe organic preparation.,mop (eruvu / khad) chilli (mirapa / mirchi) phosphorus & potassium deficiency (poshakala lopam)
Confidor (Imidacloprid),Chilli (Mirapa / Mirchi),Thrips & Whiteflies (Tella doma / Taamara purugu / Safed Makkhi),Verticillium lecanii,1 Unit/Acre,Seasonal Application,Safe organic preparation.,confidor (imidacloprid) chilli (mirapa / mirchi) thrips & whiteflies (tella doma / taamara purugu / safed makkhi)
Proclaim (Emamectin Benzoate),Chilli (Mirapa / Mirchi),Thrips & Whiteflies (Tella doma / Taamara purugu / Safed Makkhi),Yellow & Blue Sticky Traps,1 Unit/Acre,As needed Application,Safe organic preparation.,proclaim (emamectin benzoate) chilli (mirapa / mirchi) thrips & whiteflies (tella doma / taamara purugu / safed makkhi)
Tracer (Spinosad),Chilli (Mirapa / Mirchi),Thrips & Whiteflies (Tella doma / Taamara purugu / Safed Makkhi),Neem Oil (10000 ppm),1 Unit/Acre,As needed Application,Broad spectrum bio-pesticide. Keep away from bees.,tracer (spinosad) chilli (mirapa / mirchi) thrips & whiteflies (tella doma / taamara purugu / safed makkhi)
Atrataf (Atrazine),Cotton (Patti / Pratti / Kapas),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,As needed Application,Safe organic preparation.,atrataf (atrazine) cotton (patti / pratti / kapas) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Gramoxone (Paraquat),Cotton (Patti / Pratti / Kapas),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,gramoxone (paraquat) cotton (patti / pratti / kapas) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Roundup (Glyphosate),Cotton (Patti / Pratti / Kapas),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,As needed Application,Safe organic preparation.,roundup (glyphosate) cotton (patti / pratti / kapas) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Stomp (Pendimethalin),Cotton (Patti / Pratti / Kapas),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,stomp (pendimethalin) cotton (patti / pratti / kapas) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Ammonium Sulphate,Cotton (Patti / Pratti / Kapas),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Azolla & Blue Green Algae (BGA),1 Unit/Acre,As needed Application,Safe organic preparation.,ammonium sulphate cotton (patti / pratti / kapas) nitrogen deficiency (poshakala lopam / natijan lopam)
Urea (Eruvu / Khad),Cotton (Patti / Pratti / Kapas),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Jeevamrutham,1 Unit/Acre,As needed Application,Universal bio-culture. Enhances soil microbial life.,urea (eruvu / khad) cotton (patti / pratti / kapas) nitrogen deficiency (poshakala lopam / natijan lopam)
Coragen / Chlorantraniliprole,Cotton (Patti / Pratti / Kapas),Pink Bollworm (Gulabi rangu purugu / Gulabi Sundi),Neem Seed Kernel Extract (NSKE 5%),1 Unit/Acre,As needed Application,Safe organic preparation.,coragen / chlorantraniliprole cotton (patti / pratti / kapas) pink bollworm (gulabi rangu purugu / gulabi sundi)
Cypermethrin,Cotton (Patti / Pratti / Kapas),Pink Bollworm (Gulabi rangu purugu / Gulabi Sundi),Trichogramma chilonis (Egg parasitoid),1 Unit/Acre,As needed Application,Safe organic preparation.,cypermethrin cotton (patti / pratti / kapas) pink bollworm (gulabi rangu purugu / gulabi sundi)
Mono / Monocrotophos (Purugu mandu),Cotton (Patti / Pratti / Kapas),Pink Bollworm (Gulabi rangu purugu / Gulabi Sundi),Pheromone Traps (5/acre),1 Unit/Acre,As needed Application,Safe organic preparation.,mono / monocrotophos (purugu mandu) cotton (patti / pratti / kapas) pink bollworm (gulabi rangu purugu / gulabi sundi)
